rank,score,play_type,log_format,immersion_score,reasons,match_id,turns,channels_count,accused,winner,completed,impostor
1,4,agent,arena_summary,0,"agent_summary_log;victory_bonus;confidence_bonus","match_1772955686536_05c247c471af1",8,0,,"victory",true,
2,4,agent,arena_summary,0,"agent_summary_log;victory_bonus;confidence_bonus","match_1772955700055_3d67a9ffadd17",12,0,,"victory",true,
3,4,agent,arena_summary,0,"agent_summary_log;victory_bonus;confidence_bonus","match_1772955812237_9ad332b877cae",7,0,,"victory",true,
4,4,agent,arena_summary,0,"agent_summary_log;victory_bonus;confidence_bonus","match_1772955823676_5b167e3b4930a",12,0,,"victory",true,
5,4,agent,arena_summary,0,"agent_summary_log;victory_bonus;confidence_bonus","match_1772955853258_1323bc59fb3db",12,0,,"victory",true,
6,4,agent,arena_summary,0,"agent_summary_log;victory_bonus;confidence_bonus","match_1772955898558_a35bd8851e9b2",6,0,,"victory",true,
7,4,agent,arena_summary,0,"agent_summary_log;victory_bonus;confidence_bonus","match_1772955927065_152e8a5d2ff88",6,0,,"victory",true,
8,4,agent,arena_summary,0,"agent_summary_log;victory_bonus;confidence_bonus","match_1772955963981_4620b2f27a9c7",12,0,,"victory",true,
9,3,agent,arena_summary,0,"agent_summary_log;victory_bonus","match_1772955936624_004ec51b05758",12,0,,"victory",true,
10,0,agent,arena_summary,0,"agent_summary_log;defeat_penalty;confidence_bonus","match_1772955719429_c2b1e1f428272",7,0,,"defeat",true,